,B_mature|Naive,B_mature|Memory_switched,B_mature|Memory_unswitched,B_mature|Memory_atypical,B_mature|HSP,B_mature|ISG,B_mature|CCL4,B_mature|GBP,B_mature|EGR,Cancer_Tissue,Cancer_Type
2022_TabulaSapiens_Science_TabulaSapiens|TSP11_Bone_Marrow_nan_10X,0.7543859649122807,0.21052631578947367,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|S05,0.47191011235955055,0.5280898876404494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|G11,0.7946257197696737,0.14779270633397312,0.05758157389635317,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Melms_Nature_Lung-COVID19|C55ctr,0.7130434782608696,0.017391304347826087,0.26956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2020_Adams_SciAdv_IPF|051I-a,0.5,0.22641509433962265,0.18867924528301888,0.05660377358490566,0.02830188679245283,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Pelka_Cell_CRC|C124_T_0_3_1_c1_v2,0.0938337801608579,0.14745308310991956,0.7506702412868632,0.0,0.0,0.0,0.005361930294906166,0.0,0.002680965147453083,Cancer_Tumor,CRC
2022_TabulaSapiens_Science_TabulaSapiens|TSP2_Kidney_nan_10X,0.15841584158415842,0.6237623762376238,0.18316831683168316,0.034653465346534656,0.0,0.0,0.0,0.0,0.0,Control,
2021_Szabo_Immunity_COVID19|COV026_blood_3days,0.07159353348729793,0.3210161662817552,0.4896073903002309,0.11778290993071594,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Hao_Cell_Blood|P2_3,0.8082319925163705,0.1580916744621141,0.03367633302151544,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Stephenson_NatMed_COVID19|BGCV04_CV0100,0.9267399267399268,0.0347985347985348,0.0347985347985348,0.003663003663003663,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Stephenson_NatMed_COVID19|MH9143321,0.9448818897637795,0.012795275590551181,0.04232283464566929,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2020_Adams_SciAdv_IPF|135I-a,0.3617021276595745,0.1702127659574468,0.46808510638297873,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Kong_Immunity_CD|I121881_L,0.24369747899159663,0.058823529411764705,0.6974789915966386,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Ren_Cell_COVID|S-M010-1,0.6458048112654019,0.2657930764717387,0.06649716409153139,0.021904948171327987,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Pal_EMBO_Breast|GSM4909314_ER-MH0064-LN,0.6847457627118644,0.020338983050847456,0.29491525423728815,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,BRCA
2021_Pelka_Cell_CRC|C139_T_1_1_0_c1_v2,0.5728155339805825,0.14563106796116504,0.2815533980582524,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,CRC
2022_Zhou_NatGenet_PDAC|HT270P1-S1H2Fc2A2N1Bmn1_1,0.7740112994350282,0.1694915254237288,0.05649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,PC
2021_Szabo_Immunity_COVID19|COV028_blood_7days,0.3211009174311927,0.6055045871559633,0.0,0.01834862385321101,0.0,0.05504587155963303,0.0,0.0,0.0,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|E13,0.7740585774058577,0.12133891213389121,0.10460251046025104,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2022_Dominguez-Conde_Science_CellTypist|Pan_T7991588,0.06912442396313365,0.1313364055299539,0.10023041474654378,0.0,0.6993087557603687,0.0,0.0,0.0,0.0,Control,
2021_Chan_CancerCell_SCLC|RU676,0.0,0.012693935119887164,0.307475317348378,0.0,0.6798307475317349,0.0,0.0,0.0,0.0,Cancer_Tumor,NSCLC
2021_Ren_Cell_COVID|S-M066,0.5857558139534884,0.2063953488372093,0.14098837209302326,0.06686046511627906,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|G01,0.6549295774647887,0.2605633802816901,0.08450704225352113,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Stephenson_NatMed_COVID19|MH8919229,0.9071428571428571,0.05,0.02142857142857143,0.02142857142857143,0.0,0.0,0.0,0.0,0.0,Control,
2023_Hirz_NatComm_Prostate|GSM5494374_SCG-PCA19-N-HG,0.004728132387706856,0.13002364066193853,0.8368794326241135,0.0,0.028368794326241134,0.0,0.0,0.0,0.0,Cancer_AdjNorm,PRC
2023_Terekhova_Immunity_PBMC|E24,0.879746835443038,0.08860759493670886,0.03164556962025317,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Pelka_Cell_CRC|C140_N_1_1_0_c1_v2,0.5459770114942529,0.1781609195402299,0.27586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,Control,
