,Mural|FGF7,Mural|RERGL,Mural|CD36,Mural|TNFAIP6,Mural|SPINT2,Mural|LAMC3,Mural|ISG,Mural|ROBO2,Cancer_Tissue,Cancer_Type
GSE199515_APD_Triple,0.0,0.1,0.4888888888888889,0.06666666666666667,0.0,0.0,0.34444444444444444,0.0,Cancer_Tumor,BRCA
GSE172225_192565SKL_GEX_HHT,0.16176470588235295,0.47794117647058826,0.20955882352941177,0.11764705882352941,0.0,0.0,0.03308823529411765,0.0,Non-malignant disease,
GSE180878_PM_A,0.40853658536585363,0.5548780487804879,0.036585365853658534,0.0,0.0,0.0,0.0,0.0,Control,
GSE181919_N46,0.0,0.7843137254901961,0.0,0.0,0.21568627450980393,0.0,0.0,0.0,Cancer_AdjNorm,HNSCC
GSE181957_SC202,0.18421052631578946,0.5350877192982456,0.11403508771929824,0.0,0.16666666666666666,0.0,0.0,0.0,Non-malignant disease,
GSE158692_20G00953_Metastase_TN,0.020761245674740483,0.49480968858131485,0.09688581314878893,0.3494809688581315,0.03806228373702422,0.0,0.0,0.0,Cancer_Metastasis,CRC
GSE175817_D408H2,0.5,0.4300847457627119,0.06991525423728813,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE183219_HSA_JGR_514ST_G,0.11764705882352941,0.38823529411764707,0.0,0.11764705882352941,0.011764705882352941,0.36470588235294116,0.0,0.0,Cancer_Tumor,NSCLC
GSE181957_SC169,0.27391304347826084,0.6652173913043479,0.02608695652173913,0.0,0.034782608695652174,0.0,0.0,0.0,Non-malignant disease,
GSE169062_15494X2,0.03319502074688797,0.9045643153526971,0.06224066390041494,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE131778_rca2-2,0.36363636363636365,0.16477272727272727,0.0,0.0,0.4715909090909091,0.0,0.0,0.0,Non-malignant disease,
GSE164241_PD164b,0.0625,0.578125,0.0703125,0.171875,0.0,0.0,0.1171875,0.0,Non-malignant disease,
GSE111976_endo_57,0.3316831683168317,0.29207920792079206,0.30198019801980197,0.07425742574257425,0.0,0.0,0.0,0.0,Control,
GSE183219_HSA_JGR_714SN_G,0.10144927536231885,0.7391304347826086,0.0,0.0,0.11594202898550725,0.043478260869565216,0.0,0.0,Cancer_AdjNorm,NSCLC
GSE178481_RCC-PR3-T3,0.0,0.03618421052631579,0.9638157894736842,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,RCC
GSE162167_human_10X,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Control,
GSE173252_dd3,0.3344262295081967,0.6213114754098361,0.021311475409836064,0.022950819672131147,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE194129_U1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE143704_Sample_103478_HVGTNBGXB_hu_062419,0.022058823529411766,0.4411764705882353,0.5367647058823529,0.0,0.0,0.0,0.0,0.0,Control,
GSE128892_Hu_Tm-Fib,0.27323943661971833,0.6873239436619718,0.03943661971830986,0.0,0.0,0.0,0.0,0.0,Control,
GSE181919_P17,0.21875,0.775,0.00625,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,Leukoplakia
GSE132771_F3W,0.3567567567567568,0.5513513513513514,0.043243243243243246,0.0,0.0,0.010810810810810811,0.03783783783783784,0.0,Non-malignant disease,
GSE128066_SC68,0.08849557522123894,0.6858407079646017,0.0,0.0,0.22566371681415928,0.0,0.0,0.0,Control,
GSE158970_Polydactyly_02,0.35984848484848486,0.5113636363636364,0.12878787878787878,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE132771_N1L,0.2539912917271408,0.38243831640058057,0.005805515239477504,0.0,0.08563134978229318,0.27213352685050796,0.0,0.0,Control,
GSE164241_BM169,0.27440633245382584,0.7255936675461742,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE181957_SC237,0.07352941176470588,0.6970588235294117,0.0,0.0,0.22941176470588234,0.0,0.0,0.0,Non-malignant disease,
GSE155468_10x_RPP_TAA_7,0.05750407830342578,0.12479608482871125,0.0,0.0,0.817699836867863,0.0,0.0,0.0,Non-malignant disease,
GSE136103_cirrhotic1_cd45-B,0.07407407407407407,0.9111111111111111,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE180878_PM_B,0.24503311258278146,0.6821192052980133,0.0728476821192053,0.0,0.0,0.0,0.0,0.0,Control,
GSE161153_P14601_5005,0.11920529801324503,0.17880794701986755,0.5033112582781457,0.004415011037527594,0.19426048565121412,0.0,0.0,0.0,Non-malignant disease,
GSE181316_skin_7_scRNA_1,0.19421487603305784,0.7520661157024794,0.0,0.0,0.05371900826446281,0.0,0.0,0.0,Control,
GSE155683_G170019300246Z_Cornea,0.3131868131868132,0.6758241758241759,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,Control,
GSE171381_CNTRL_3__villi__HCR,0.01276595744680851,0.31063829787234043,0.1148936170212766,0.0,0.0,0.5617021276595745,0.0,0.0,Control,
GSE181297_Keloid1,0.7200211304807185,0.11780243000528262,0.0,0.16217643951399893,0.0,0.0,0.0,0.0,Non-malignant disease,
