,Fibroblast|IL6,Fibroblast|HSP,Fibroblast|Universal,Fibroblast|KLK1,Fibroblast|LRRC15,Fibroblast|IL24,Fibroblast|CST2,Fibroblast|Alveolar,Fibroblast|CLDN1,Fibroblast|GREM2,Fibroblast|Corneal,Fibroblast|COX15,Fibroblast|CD36,Fibroblast|CCL19,Fibroblast|ISG,Fibroblast|Chondrocyte,Fibroblast|Dermal-sheath,Fibroblast|SYT1,Fibroblast|COCH,Fibroblast|ITGB8,Fibroblast|CLEC14A,Fibroblast|Satellite,Fibroblast|NRG1,Fibroblast|ADAMDEC1,Cancer_Tissue,Cancer_Type
2021_Elmentaite_Nature_Intestine|Human_colon_16S8000515,0.0603448275862069,0.0,0.7241379310344828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1896551724137931,Control,
2021_Elmentaite_Nature_Intestine|Human_colon_16S8002627,0.0,0.0,0.9896907216494846,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2020_Litvinukova_Nature_Heart|HCAHeart7880862,0.0,0.0,0.47513812154696133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3756906077348066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14917127071823205,0.0,0.0,0.0,Control,
2022_Gur_Cell_Sceleroderma|GSM5837172_AB13839,0.0,0.0,0.9459459459459459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.013513513513513514,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2022_Reichart_Science_Heart|BO_H33_LV0_premrna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8536585365853658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14634146341463414,0.0,0.0,0.0,Non-malignant disease,
2021_Wu_NatGenet_Breast|CID4530N,0.0,0.10062893081761007,0.16352201257861634,0.018867924528301886,0.6477987421383647,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.031446540880503145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,BRCA
2022_Hwang_NatGenet_PDAC|U14_Untreated,0.0,0.0,0.0,0.0,0.9913294797687862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008670520231213872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,PC
2022_Gur_Cell_Sceleroderma|GSM5837603_AB8765,0.0,0.0,0.39156626506024095,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.41566265060240964,0.006024096385542169,0.0,0.0,0.060240963855421686,0.0,0.0,0.0783132530120482,0.0,0.03614457831325301,0.0,0.0,0.0,0.0,0.0,Control,
2023_Kumar_Nature_Breast|hbca_c109,0.14018691588785046,0.10903426791277258,0.6915887850467289,0.059190031152647975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Pal_EMBO_Breast|GSM4909277_B1-KCF0894,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2022_vanZyl_PNAS_Eye|Pt14Cornea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10752688172043011,0.0,0.8924731182795699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Kumar_Nature_Breast|hbca_c62,0.6904512067156349,0.009793634137810424,0.292060160895418,0.007694998251136761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2022_Reichart_Science_Heart|IC_H04_LV0_premrna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08536585365853659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9146341463414634,0.0,0.0,0.0,Non-malignant disease,
2023_Kumar_Nature_Breast|hbca_c132,0.9712147380541163,0.0063327576280944155,0.022452504317789293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
