,PANGEA_annotation,SEN,PPV,CFS,score
intestinal epithelial cell@Chen_2021_Cancer|CRC,Ductal|BEST4,0.9540350877192982,0.9087566844919787,0.8987376762708982,0.9201987480909607
Transitional Stromal 3 (C3+)@Elmentaite_2021_Intestine,Fibroblast|Universal,0.9648158328752061,0.9140625,0.8825334124693177,0.9198503052843607
pDC@Liu_2021_Blood|COVID-19,Dendritic_plasmacytoid,0.9664516129032258,0.8045112781954887,0.9990294271357903,0.9192426744129495
cardiac neuron@Reichart_2022_Heart,Schwann,0.8605257667431672,0.9771381189291637,0.9224504972020936,0.9187999608236521
B naive@Hao_2021_Blood,B_mature|Naive,0.9216162508279974,0.9651982888195167,0.8702805424923998,0.918209919917297
Ciliated@Adams_2020_Lung|IPF,Ciliated,0.9997631454287068,0.7703960576747582,0.999999807531146,0.9166503257373652
B_c05-MZB1-XBP1@Ren_2021_Blood|COVID-19,Plasma,0.9763459841129744,0.7876112495550017,0.9999457727705356,0.9161446178229494
natural killer cell@Kumar_2023_Breast_scRNA,T&NK|NK_CD16,0.923590333716916,0.8455541508638854,0.984244640970624,0.9160263246319938
DC_Mature@Adams_2020_Lung|IPF,Dendritic_classical|LAMP3,0.8660714285714286,0.9496503496503497,0.9338259767286972,0.9157869804137628
Dendritic_C@Adams_2020_Lung|IPF,Dendritic_classical|LAMP3,0.8660714285714286,0.9496503496503497,0.9338259767286972,0.9157869804137628
Naive B cells@Dominguez-Conde_2022_Multiple,B_mature|Naive,0.8927703957708244,0.930043908610553,0.9169785498394368,0.9131332070856247
T cell@Chen_2021_Cancer|CRC,T&NK|T_CD4_N&CM,0.7723356009070295,0.996780801872988,0.988055806060488,0.9128422466484646
cTNI26 (ILC3)@Pelka_2021_Cancer|CRC,T&NK|ILC,0.9411057692307693,0.8224789915966386,0.9796964841196834,0.9119092051076414
NK_CD16+@Dominguez-Conde_2022_Multiple,T&NK|NK_CD16,0.9534748190957214,0.8465054111154228,0.9389332883780236,0.9117124828345031
AT2@Madissoon_2022_Lung,Ductal|AT2,0.8853891820580475,0.9024034959941734,0.947124524509808,0.9112705899790066
gd T cells@Terekhova_2023_Blood,T&NK|T_gdT_TRDV2,0.8239370078740158,0.9330580063825793,0.9829685064880584,0.9108511671304802
Platelets@Stephenson_2021_Blood|COVID-19,Platelet,0.7573042216192339,0.9994170552964691,0.9984194696163222,0.9108427207536772
S1 fibroblasts@Elmentaite_2020_Intestine|pIBD,Fibroblast|ADAMDEC1,0.9661798616448886,0.9479638009049773,0.8228362013010704,0.9100272039031807
Pericytes-2@Hirz_2023_Cancer|PRC,Mural|RERGL,0.9743589743589743,0.7979274611398963,0.9688639455508622,0.909874999308194
